id,start_date,end_date,zone_grid_filename
0,2000-03-01,2000-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
1,2000-06-01,2000-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
2,2000-09-01,2000-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
3,2000-12-01,2001-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
4,2001-03-01,2001-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
5,2001-06-01,2001-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
6,2001-09-01,2001-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
7,2001-12-01,2002-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
8,2002-03-01,2002-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
9,2002-06-01,2002-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
10,2002-09-01,2002-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
11,2002-12-01,2003-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
12,2003-03-01,2003-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
13,2003-06-01,2003-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
14,2003-09-01,2003-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
15,2003-12-01,2004-02-29,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
16,2004-03-01,2004-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
17,2004-06-01,2004-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
18,2004-09-01,2004-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
19,2004-12-01,2005-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
20,2005-03-01,2005-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
21,2005-06-01,2005-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
22,2005-09-01,2005-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
23,2005-12-01,2006-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
24,2006-03-01,2006-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
25,2006-06-01,2006-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
26,2006-09-01,2006-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
27,2006-12-01,2007-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
28,2007-03-01,2007-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
29,2007-06-01,2007-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
30,2007-09-01,2007-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
31,2007-12-01,2008-02-29,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
32,2008-03-01,2008-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
33,2008-06-01,2008-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
34,2008-09-01,2008-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
35,2008-12-01,2009-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
36,2009-03-01,2009-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
37,2009-06-01,2009-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
38,2009-09-01,2009-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
39,2009-12-01,2010-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
40,2010-03-01,2010-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
41,2010-06-01,2010-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
42,2010-09-01,2010-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
43,2010-12-01,2011-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
44,2011-03-01,2011-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
45,2011-06-01,2011-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
46,2011-09-01,2011-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
47,2011-12-01,2012-02-29,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
48,2012-03-01,2012-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
49,2012-06-01,2012-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
50,2012-09-01,2012-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
51,2012-12-01,2013-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
52,2013-03-01,2013-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
53,2013-06-01,2013-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
54,2013-09-01,2013-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
55,2013-12-01,2014-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
56,2014-03-01,2014-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
57,2014-06-01,2014-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
58,2014-09-01,2014-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
59,2014-12-01,2015-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
60,2015-03-01,2015-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
61,2015-06-01,2015-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
62,2015-09-01,2015-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
63,2015-12-01,2016-02-29,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
64,2016-03-01,2016-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
65,2016-06-01,2016-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
66,2016-09-01,2016-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
67,2016-12-01,2017-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
68,2017-03-01,2017-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
69,2017-06-01,2017-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
70,2017-09-01,2017-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
71,2017-12-01,2018-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
72,2018-03-01,2018-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
73,2018-06-01,2018-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
74,2018-09-01,2018-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
75,2018-12-01,2019-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
76,2019-03-01,2019-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
77,2019-06-01,2019-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
78,2019-09-01,2019-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
79,2019-12-01,2020-02-29,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
80,2020-03-01,2020-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
81,2020-06-01,2020-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
82,2020-09-01,2020-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
83,2020-12-01,2021-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
84,2021-03-01,2021-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
85,2021-06-01,2021-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
86,2021-09-01,2021-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
87,2021-12-01,2022-02-28,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
88,2022-03-01,2022-05-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
89,2022-06-01,2022-08-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
90,2022-09-01,2022-11-30,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
91,2000-01-01,2000-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
92,2001-01-01,2001-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
93,2002-01-01,2002-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
94,2003-01-01,2003-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
95,2004-01-01,2004-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
96,2005-01-01,2005-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
97,2006-01-01,2006-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
98,2007-01-01,2007-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
99,2008-01-01,2008-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
100,2009-01-01,2009-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
101,2010-01-01,2010-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
102,2011-01-01,2011-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
103,2012-01-01,2012-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
104,2013-01-01,2013-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
105,2014-01-01,2014-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
106,2015-01-01,2015-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
107,2016-01-01,2016-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
108,2017-01-01,2017-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
109,2018-01-01,2018-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
110,2019-01-01,2019-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
111,2020-01-01,2020-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
112,2021-01-01,2021-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
113,2022-01-01,2022-12-31,.\input_grids_1000m\observation_watersheds_zones_1000m.asc
